名称,悬赏标签,预估价,预估工时,参与人数,发布日期,detail_url,技能要求
把mt4指标转成国内的通达信,技术难题,300,10天,1,2021-02-08 21:52:04,https://zb.oschina.net/reward/detail?id=11557792,"<p>mt4指标如下：</p><p>#property indicator_separate_window</p><p>#property indicator_minimum -1.0</p><p>#property indicator_maximum 1.0</p><p>#property indicator_buffers 3</p><p>#property indicator_color1 Green</p><p>#property indicator_color2 Gray</p><p>#property indicator_color3 Black</p><p>#property indicator_level1 0.5</p><p>#property indicator_level2 -0.5</p><p><br></p><p>int gi_76 = 14;</p><p>extern int CountBars = 1000;</p><p>double g_ibuf_84[];</p><p>double g_ibuf_88[];</p><p>double g_ibuf_92[];</p><p>int gi_96;</p><p>int g_count_100;</p><p>int gi_104;</p><p>bool gi_108;</p><p>int g_ind_counted_112;</p><p>datetime g_time_116;</p><p>datetime g_time_120;</p><p>datetime g_time_124;</p><p>double gd_128;</p><p>double gd_136;</p><p>double gd_144;</p><p>double gd_152;</p><p>double gd_160;</p><p>double gd_168;</p><p>double gd_176;</p><p>double gd_184;</p><p>double gd_192;</p><p>double gd_200;</p><p>double gd_208;</p><p>double gd_216;</p><p>double gd_224;</p><p>double gd_232;</p><p>double gd_240;</p><p>double gd_248;</p><p>double gd_256;</p><p>double gd_264;</p><p>double gd_272;</p><p>double gd_280;</p><p>double gd_288;</p><p>double gd_296;</p><p>double gd_304;</p><p>double gd_320;</p><p>double gd_328;</p><p>double gd_336;</p><p>double gd_344;</p><p>double gd_352;</p><p>double gd_360;</p><p>double gd_368;</p><p>double gd_376;</p><p>double gd_384;</p><p>double gd_392;</p><p>double gd_400;</p><p>double gd_408;</p><p>double gd_416;</p><p>double gd_424;</p><p><br></p><p>int init() {</p><p><br></p><p>&nbsp;&nbsp;SetIndexStyle(0, DRAW_HISTOGRAM, STYLE_SOLID);</p><p>&nbsp;&nbsp;SetIndexStyle(1, DRAW_HISTOGRAM, STYLE_SOLID);</p><p>&nbsp;&nbsp;SetIndexStyle(2, DRAW_HISTOGRAM, STYLE_SOLID);</p><p>&nbsp;&nbsp;SetIndexBuffer(0, g_ibuf_84);</p><p>&nbsp;&nbsp;SetIndexBuffer(1, g_ibuf_88);</p><p>&nbsp;&nbsp;SetIndexBuffer(2, g_ibuf_92);</p><p>&nbsp;&nbsp;IndicatorShortName(""ProFx06("" + gi_76 + "")"");</p><p>&nbsp;&nbsp;SetIndexDrawBegin(0, Bars - CountBars);</p><p>&nbsp;&nbsp;SetIndexDrawBegin(1, Bars - CountBars);</p><p>&nbsp;&nbsp;SetIndexDrawBegin(2, Bars - CountBars);</p><p>&nbsp;&nbsp;IndicatorDigits(MarketInfo(Symbol(), MODE_DIGITS));</p><p>&nbsp;&nbsp;if (gi_76 - 1 &gt;= 5) gi_104 = gi_76 - 1;</p><p>&nbsp;&nbsp;else gi_104 = 5;</p><p>&nbsp;&nbsp;gd_416 = 3 / (gi_76 + 2.0);</p><p>&nbsp;&nbsp;gd_424 = 1.0 - gd_416;</p><p>&nbsp;&nbsp;return (0);</p><p>}</p><p><br></p><p>int start() {</p><p><br></p><p>&nbsp;&nbsp;g_ind_counted_112 = IndicatorCounted();</p><p>&nbsp;&nbsp;if (g_ind_counted_112 &lt; 0) return (-1);</p><p>&nbsp;&nbsp;if (g_ind_counted_112 &gt; gi_76) gi_96 = Bars - g_ind_counted_112 - 1;</p><p>&nbsp;&nbsp;else gi_96 = Bars - gi_76 - 1;</p><p>&nbsp;&nbsp;g_time_124 = Time[gi_96 + 1];</p><p>&nbsp;&nbsp;if (g_time_124 != g_time_116 &amp;&amp; gi_96 &lt; Bars - gi_76 - 1) {</p><p>&nbsp;&nbsp;&nbsp;if (g_time_124 == g_time_120) {</p><p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;gd_320 = gd_208;</p><p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;gd_328 = gd_216;</p><p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;gd_336 = gd_224;</p><p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;gd_344 = gd_232;</p><p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;gd_352 = gd_240;</p><p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;gd_360 = gd_248;</p><p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;gd_368 = gd_256;</p><p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;gd_376 = gd_264;</p><p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;gd_384 = gd_272;</p><p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;gd_392 = gd_280;</p><p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;gd_400 = gd_288;</p><p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;gd_408 = gd_296;</p><p>&nbsp;&nbsp;&nbsp;} else return (-1);</p><p>&nbsp;&nbsp;}</p><p>&nbsp;&nbsp;if (gi_76 - 1 &gt;= 5) gi_104 = gi_76 - 1;</p><p>&nbsp;&nbsp;else gi_104 = 5;</p><p>&nbsp;&nbsp;gd_416 = 3 / (gi_76 + 2.0);</p><p>&nbsp;&nbsp;gd_424 = 1.0 - gd_416;</p><p>&nbsp;&nbsp;while (gi_96 &gt;= 0) {</p><p>&nbsp;&nbsp;&nbsp;if (g_count_100 == 0) {</p><p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;g_count_100 = 1;</p><p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;gi_108 = FALSE;</p><p>&nbsp;&nbsp;&nbsp;} else {</p><p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;if (g_count_100 &gt;= gi_104) g_count_100 = gi_104 + 1;</p><p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;else g_count_100++;</p><p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;gd_136 = Close[gi_96] - (Close[gi_96 + 1]);</p><p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;gd_192 = MathAbs(gd_136);</p><p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;gd_320 = gd_424 * gd_320 + gd_416 * gd_136;</p><p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;gd_328 = gd_416 * gd_320 + gd_424 * gd_328;</p><p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;gd_176 = 1.5 * gd_320 - gd_328 / 2.0;</p><p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;gd_336 = gd_424 * gd_336 + gd_416 * gd_176;</p><p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;gd_344 = gd_416 * gd_336 + gd_424 * gd_344;</p><p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;gd_144 = 1.5 * gd_336 - gd_344 / 2.0;</p><p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;gd_352 = gd_424 * gd_352 + gd_416 * gd_144;</p><p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;gd_360 = gd_416 * gd_352 + gd_424 * gd_360;</p><p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;gd_152 = 1.5 * gd_352 - gd_360 / 2.0;</p><p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;gd_368 = gd_424 * gd_368 + gd_416 * gd_192;</p><p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;gd_376 = gd_416 * gd_368 + gd_424 * gd_376;</p><p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;gd_160 = 1.5 * gd_368 - gd_376 / 2.0;</p><p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;gd_384 = gd_424 * gd_384 + gd_416 * gd_160;</p><p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;gd_392 = gd_416 * gd_384 + gd_424 * gd_392;</p><p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;gd_184 = 1.5 * gd_384 - gd_392 / 2.0;</p><p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;gd_400 = gd_424 * gd_400 + gd_416 * gd_184;</p><p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;gd_408 = gd_416 * gd_400 + gd_424 * gd_408;</p><p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;gd_168 = 1.5 * gd_400 - gd_408 / 2.0;</p><p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;if (g_count_100 &lt;= gi_104 &amp;&amp; gd_136 != 0.0) gi_108 = TRUE;</p><p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;if (g_count_100 == gi_104 &amp;&amp; gi_108 == FALSE) g_count_100 = 0;</p><p>&nbsp;&nbsp;&nbsp;}</p><p>&nbsp;&nbsp;&nbsp;if (g_count_100 &gt; gi_104 &amp;&amp; gd_168 &gt; 0.0000000001) {</p><p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;gd_128 = 50.0 * (gd_152 / gd_168 + 1.0);</p><p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;if (gd_128 &gt; 100.0) gd_128 = 100.0;</p><p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;if (gd_128 &lt; 0.0) gd_128 = 0.0;</p><p>&nbsp;&nbsp;&nbsp;} else gd_128 = 50.0;</p><p>&nbsp;&nbsp;&nbsp;gd_304 = gd_128 / 50.0 - 1.0;</p><p>&nbsp;&nbsp;&nbsp;if (gi_96 == 1) {</p><p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;g_time_120 = Time[1];</p><p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;g_time_116 = Time[0];</p><p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;gd_208 = gd_320;</p><p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;gd_216 = gd_328;</p><p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;gd_224 = gd_336;</p><p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;gd_232 = gd_344;</p><p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;gd_240 = gd_352;</p><p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;gd_248 = gd_360;</p><p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;gd_256 = gd_368;</p><p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;gd_264 = gd_376;</p><p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;gd_272 = gd_384;</p><p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;gd_280 = gd_392;</p><p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;gd_288 = gd_400;</p><p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;gd_296 = gd_408;</p><p>&nbsp;&nbsp;&nbsp;}</p><p>&nbsp;&nbsp;&nbsp;gd_200 = gd_304 - (g_ibuf_84[gi_96 + 1]) - (g_ibuf_88[gi_96 + 1]) - (g_ibuf_92[gi_96 + 1]);</p><p>&nbsp;&nbsp;&nbsp;g_ibuf_84[gi_96] = 0.0;</p><p>&nbsp;&nbsp;&nbsp;g_ibuf_88[gi_96] = 0.0;</p><p>&nbsp;&nbsp;&nbsp;g_ibuf_92[gi_96] = 0.0;</p><p>&nbsp;&nbsp;&nbsp;if (gd_200 &gt; 0.0) g_ibuf_84[gi_96] = gd_304;</p><p>&nbsp;&nbsp;&nbsp;else {</p><p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;if (gd_200 &lt; 0.0) g_ibuf_88[gi_96] = gd_304;</p><p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;else g_ibuf_92[gi_96] = gd_304;</p><p>&nbsp;&nbsp;&nbsp;}</p><p>&nbsp;&nbsp;&nbsp;gi_96--;</p><p>&nbsp;&nbsp;}</p><p>&nbsp;&nbsp;return (0);</p><p>}</p><p><br></p><p>int deinit() {</p><p><br></p><p>&nbsp;&nbsp;return (0);</p><p>}</p>"
TMT视频需要回复可以MP4打开,技术难题,500,7天,0,2021-02-08 12:55:01,https://zb.oschina.net/reward/detail?id=19557759,<p>TMT视频需要回复可以MP4打开</p>
需要做一个黑色方盒子,技术难题,100,7天,2,2021-02-08 01:33:43,https://zb.oschina.net/reward/detail?id=14557706,<p>需要做一个黑色方盒子</p>
TMT视频需要回复可以MP4打开,技术难题,100,7天,2,2021-02-04 20:39:19,https://zb.oschina.net/reward/detail?id=12557678,<p>TMT视频需要回复可以MP4打开</p>
JAVA 单点登录 不同域名各自登录互认,技术难题,100,5天,22,2021-02-03 12:57:25,https://zb.oschina.net/reward/detail?id=11557438,<p>JAVA单点登录：</p><p>1）要求不同域名A、B可以各自实现输入用户名密码登录</p><p>2）不同域名A、B登录的用户名密码一致 同一个库</p><p>3）在A或者B登录后 进入另一个系统 A或者B 不需要再次登录</p><p>注意：</p><p>要能够各自域名单独登录，不是到同一个页面登录；</p>
短视频背景声音去噪音，声音扩大100倍,技术难题,800,30天,9,2021-01-09 16:52:41,https://zb.oschina.net/reward/detail?id=14556878,<p>短视频背景声音去噪音，声音扩大100倍</p>
超短视频背景去噪音，人物对话声音放大,技术难题,100,30天,6,2021-01-09 01:41:53,https://zb.oschina.net/reward/detail?id=11556822,<p>超短视频背景去噪音，人物对话声音放大</p>
python抢票软件,技术难题,1000,6天,8,2021-01-08 23:41:22,https://zb.oschina.net/reward/detail?id=17556934,<p>核心需求就是抢票。</p><p><br></p><p>有py源码（参考网站git链接）需要进行优化。</p><p><br></p><p>你可以选择二开，或者用其他更好的方式。</p><p><br></p><p>只要能完成自动抢票的结果。</p><p><br></p><p>主要功能：</p><p>配置账号信息（可用json或者excel之类）</p><p>自动登陆</p><p>自动抢票</p><p><br></p><p>ps：会用前端的抢票的也聊聊</p>
信息咨询,其他悬赏,100,30天,7,2021-01-08 22:48:12,https://zb.oschina.net/reward/detail?id=18556984,<p>需要整理2021年HACKASON 所有的举办者、联系方式、时间、地点</p>
图像纹理的唯一标识,其他悬赏,100,15天,1,2020-12-28 16:54:17,https://zb.oschina.net/reward/detail?id=13556489,<p>对材料某个固定位置进行表面的纹理拍照存储，之后能够通过纹理拍照能够识别出来是某个材料；类似于指纹识别或者人脸识别；能够准确识别出来每一个材料的身份；</p><p>我需要：一套实现图像纹理唯一标识的解决方案</p><p>联系方式：武</p><p>联系人：18510453560</p><p>价格面议</p>
php网站代码修改及优化,其他悬赏,300,2天,21,2020-12-27 10:10:46,https://zb.oschina.net/reward/detail?id=11556462,"<p>目前网站已经上线，有小部分功能需要优化 ， 有相同网站源码可参考。</p><p><br></p><ul><li>调用第三方接口，同步订单数据，有现成示例可参考。&nbsp;</li><li class=""ql-align-justify"">如果输入框的收件地址格式有误，显示“错误定位”红底白字。</li><li class=""ql-align-justify"">如果收件地址是属于偏远地区的，将不发货，以省级为判断。网站有设置&nbsp;偏远地区不发，比如新疆，甘肃等。</li><li class=""ql-align-justify"">解决网站本身提示未授权问题，可参考另一网站解决，有源码。</li><li class=""ql-align-justify"">其他</li></ul><p class=""ql-align-justify""><br></p>"
prometheus 对安卓设备的监控,技术难题,1000,7天,1,2020-12-20 15:03:13,https://zb.oschina.net/reward/detail?id=13556093,"<p>一组android设备，做一些签到、扫码服务，需要保证业务连续性，能持续通过prometheus做监控和报警，最好有做过类似项目的,应用的前端页面使用的react native。</p>"
类似淘宝购物网站的自动确认收货,其他悬赏,500,2天,7,2020-12-18 11:41:26,https://zb.oschina.net/reward/detail?id=19556051,<p>我提供账户密码以及评价，登陆对应的购物网站进行确认收货，完成后生成反馈。之前在同行看过有类似程序，可以实现。做过类似的可以竞标，如果我价格和这个不匹配请在竞标的时候说明。</p><p>短时间重复或者大量登陆需要输入验证码才能登陆</p><p><br></p>
微信插件，可以一键添加5000人，一键群发信息，电脑端浏览信息,营销推广,100,7天,1,2020-12-10 23:44:20,https://zb.oschina.net/reward/detail?id=15554312,<p>微信插件，可以一键添加5000人，一键群发信息，电脑端浏览信息</p>
简单的一个小爬虫，爬取阿里巴巴国际站的卖家信息（卖家信息都是公开信息）,视频图片,100,7天,32,2020-12-10 23:30:49,https://zb.oschina.net/reward/detail?id=19554331,"<p><strong style=""color: rgb(21, 21, 25);"">简单的一个小爬虫，爬取阿里巴巴国际站的卖家信息（卖家信息都是公开信息）</strong></p>"
安卓录音,技术难题,500,7天,6,2020-12-08 16:17:10,https://zb.oschina.net/reward/detail?id=16554872,"<p>安卓app录音不定时中断,或者录音没声音</p>"
2分钟手机视频声音放大20倍（有2段）,视频图片,200,7天,8,2020-12-04 15:10:15,https://zb.oschina.net/reward/detail?id=13554901,<p>2分钟手机视频声音放大20倍（有2段）</p>
安卓实现一个简单apk功能,技术难题,800,7天,19,2020-12-04 11:47:12,https://zb.oschina.net/reward/detail?id=11554735,<p>有一学习机安卓平板，需要做一个apk，实现下面功能：</p><p>要求点击界面上某个图片（按钮），跳转打开对应app，关闭该app后回到原界面，</p>
对一个app，想改名字安装并后面禁止自动升级,技术难题,300,7天,11,2020-12-02 15:11:34,https://zb.oschina.net/reward/detail?id=18554483,<p>有一个app，我们想改名字安装到一款平板上，并后面禁止其中的自动升级功能</p><p><br></p><p><br></p><p><br></p><p><br></p>
图像任务自动剪辑功能,视频图片,200,7天,6,2020-12-01 14:29:07,https://zb.oschina.net/reward/detail?id=13554402,<p>需要做一个图像中，人物人脸或者眼睛定位后，图像自动剪辑功能</p>
PC桌面应用程序服务端,其他悬赏,300,2天,9,2020-11-30 13:18:36,https://zb.oschina.net/reward/detail?id=16554559,<p>桌面应用程序（我们系统的服务端相当于中转站） 一键部署java环境 mysql服务 jdk环境 运行十个jar包 server.jar优先级最高别的别的无顺序 双击应用程序得时候弹出界面让用户选择电影存放路径 拿到路径调用java接口。</p><p>具体细节不太会：</p><p>说人话就是：PC桌面安装一个软件，软件内集成了我们需求的一些环境服务，打开软件后弹出窗口，登陆绑定账号后选定好本地的数据路径，回传给后台。后台反馈回来数据对应的信息，这个信息再反馈给本地的终端。就是简单的一个中转站</p>
可用的豆瓣api接口,技术难题,200,30天,12,2020-11-23 19:08:40,https://zb.oschina.net/reward/detail?id=11555176,<p>需要一个可用来根据电影名字/豆瓣ID来获取相关电影的：海报图片，详情简介，年份，演员，评分，上映国家，种类等信息。</p><p>要求是稳定可用长期，具体可详谈。会爬虫的应该很简单</p><p>我们是后台请求接口来使用</p>
syncthing代码框架解析（可议）,其他悬赏,100,30天,2,2020-11-21 06:09:48,https://zb.oschina.net/reward/detail?id=11555366,"<p>syncthing的代码框架文档，包括桌面和手机端。</p><p><span style=""color: rgb(34, 34, 34);"">要求：</span></p><p><span style=""color: rgb(34, 34, 34);"">1、根据github上的代码，怎么构架出桌面、手机（Andriod）客户端</span></p><p><span style=""color: rgb(34, 34, 34);"">2、模块的相互关系</span></p><p>sycnthing运行机制是本地开一个服务，和远程同步信息。打开网页访问本地的服务，进行用户互动。很喜欢这个框架，但是初学者没能力摸透这个框架。根据文档深度，价格可再议。</p>"
ESP8266自定义AT指令,技术难题,300,10天,1,2020-11-17 19:43:38,https://zb.oschina.net/reward/detail?id=12555853,<p>此固件在乐鑫官方AT固件开发即可</p><p>1.在官方AT指令的基础上，自定义12条AT指令，要求见附件</p><p>2.模块通电自动连接AP</p><p>3.实现透传功能即可</p>
微信小程序抢单功能问题处理,技术难题,100,1天,3,2020-11-16 16:19:12,https://zb.oschina.net/reward/detail?id=15555989,<p>微信小程序抢单功能问题处理，QQ:3121135403</p>
wordpress 中加载实时生成的链接,技术难题,100,1天,3,2020-11-16 11:14:52,https://zb.oschina.net/reward/detail?id=18555957,"<pre class=""ql-syntax"" spellcheck=""false"">  这个链接是datav的链接。 
&lt;?php
  $token = ""kBwoX9rFX9v4zbOT0Gjd_wr65DZ****"";
  $screenID = ""03d1b68faeb09671046d1ef43f58****"";
  $time = time()*1000;
  $stringToSign = $screenID.'|'.$time;
  $signature = urlencode(base64_encode(hash_hmac('sha256', $stringToSign, $token, true)));
  $url = ""http://datav.aliyuncs.com/share/"".$screenID.""?_datav_time="".$time.""&amp;_datav_signature="".$signature;
?&gt;
&lt;iframe width=100% height=100% src=""&lt;?=$url?&gt;""/&gt;
</pre><p><br></p>"
数据爬虫，反爬虫，数据量大,WEB应用,200,3天,30,2020-10-20 19:19:57,https://zb.oschina.net/reward/detail?id=19550742,<p>目的：地址转经纬度， 对一个数据库的一列上千万数据进行操作，结果保存到同一数据库中 data crawling</p><p><br></p><p>我现在有一组地址数据， 需要把地址转换成经纬度，百度API， </p><p>因为数据很多有上千万个， 想要找人帮我写一下python code，因为数据量大，端口可能撑不住，初步想法是把数据每1000分开，然后拿去baidu地址上跑，转换成经纬度（2个output）把对应的地址和结果保存保存起来。其间加一个过滤（因为有的地址可能不全或者是不准确，产生多个结果），先按地址找准所在的区和地址中已有的区做对比然后再进行转换。最后还希望有一列表示搜索结果的精准度（按照是否搜索成功，是否定位到某个城市的市中心而不是具体的地点。</p><p><br></p><p>操作应该不难 主要是数据量大 希望有一定责任心和耐心 愿意沟通  满意的话之后有需要还可合作 赏金可议 请留微信号！</p>
自动收邮件的库,工具应用,300,5天,12,2020-10-20 08:33:54,https://zb.oschina.net/reward/detail?id=15550648,"<p>这样的一个程序, 最好是python写的.</p><ul><li>登录进一个支持imap的idle功能的邮箱</li><li>邮箱一旦有新的邮件, 就跑一个函数. 函数的输入是这个邮件.</li><li>最重要的部分: 利用imap的idle功能, 这样等同于接受了邮箱的<strong>推送</strong>, 而不是<strong>轮询</strong>. 这些邮件里面的信息时效性非常强. 邮箱有10分钟一次的登录限制. 所以必须要利用邮箱的IDLE功能实时获取新邮件的存在. </li></ul><p><br></p><p>只要写成一个库就可以了, 只要个简单的接口, 比如</p><p><br></p><p>def email_watcher(username, password, server, callback_function)</p><p><br></p><p>每次接到邮件就跑那个callback function.</p>"
instagram图片或者视频下载,工具应用,300,15天,15,2020-10-19 18:46:27,https://zb.oschina.net/reward/detail?id=17550659,<p>instagram上面一个链接，获取该链接上的图片或者视频内容并保存</p><p>语言要求Java</p>
微信协议相关,微信应用,100,10天,6,2020-10-19 15:26:50,https://zb.oschina.net/reward/detail?id=19550414,<p>可以实现通过协议向微信的联系人发送信息</p><p>费用可商议</p>
google 无感验证 技术支持 recaptcha 爬虫,移动应用,100,1天,3,2020-10-14 16:51:39,https://zb.oschina.net/reward/detail?id=19550022,"<p><span style=""color: rgb(102, 102, 102);"">周期可谈 价格可谈，wx：cbxhpy</span></p><p><br></p><p>google 无感验证 技术支持</p><p>www.gstatic.com/recaptcha</p>"
CAD看图软件增加一些小功能,WEB应用,100,7天,2,2020-10-12 17:48:12,https://zb.oschina.net/reward/detail?id=14552148,"<p>1.把我手上的看图软件的有些界面删除。</p><p><br></p><p>2.在国外的开源CAD看图软件上，增加一项与图纸尺寸<span style=""color: rgb(34, 34, 34);"">1:1显示的功能；</span></p><p><br></p>"
接口调整,微信应用,200,2天,67,2020-10-09 18:33:41,https://zb.oschina.net/reward/detail?id=14552804,<p>前后台接口对接</p>
Word拆分为HTML封装,WEB应用,1000,30天,27,2020-09-29 12:23:59,https://zb.oschina.net/reward/detail?id=11552504,"<p><span style=""color: rgb(51, 51, 51);"">编程语言：Java最佳，其他也可以</span></p><p><span style=""color: rgb(51, 51, 51);"">需求内容：将固定格式word实体拆分为多个HTML文本片段，能够使其在网上正正常显示</span></p><p><span style=""color: rgb(51, 51, 51);"">解决难题：</span></p><p><span style=""color: rgb(51, 51, 51);"">1、图片能够单独提取出来，并修改html里的图片路径。</span></p><p><span style=""color: rgb(51, 51, 51);"">2、解决Word的原生公式和MathType公式在网页上的展示</span></p><p><span style=""color: rgb(51, 51, 51);"">3、能够保证Word页面格式基本和网页一致，略微差异可以接受</span></p>"
数据同步技术方案咨询,游戏开发,2000,1天,20,2020-09-11 09:46:31,https://zb.oschina.net/reward/detail?id=18503879,<p>工作内容：</p><p>&nbsp;1.有一个单机版的计算引擎，因单机cpu计算效率有限，需要提高计算效率，考虑使用分布式并行计算，想咨询关于分布式下的数据同步，任务分发等相关经验，通过咨询形成能够落地的技术方案</p><p>&nbsp;2.要求技术方案改动尽可能小，具备可实施性</p><p>技术要求：</p><p>&nbsp;1.有分布式计算，并行计算，网络数据同步等相关经</p>
对接微信公众号,微信应用,100,2天,31,2020-09-01 14:55:10,https://zb.oschina.net/reward/detail?id=13503268,<p>提供源码，对接到微信公众号，源码是找人开发好的，去年是完全可以用的，今年那个程序员说对接不上微信公众号了，我觉得太奇怪了，想找人看一下，能不能对接上，感觉遇到无良开发者了，开发语言不太清楚，后台应该是php。是网页对接公众号登录，对访问来的微信用户，直接在微信浏览器中打开，可以获取微信用户UID标识，自动生成账户，并对该用户在页面内停留时间做记录。</p>
rtsp转国标,物联网,100,7天,7,2020-08-31 18:29:20,https://zb.oschina.net/reward/detail?id=18503203,"<p><span style=""color: rgb(17, 31, 44);"">rtsp拉流接入GB28181平台，支持多路视频接入，优先使用开源类软件定制开发，价格可谈，开发语言不限；</span></p>"
阳澄湖自助提卡系统,WEB应用,100,15天,20,2020-08-31 14:11:22,https://zb.oschina.net/reward/detail?id=15508133,<p>th.tzqywl.com/admin，类似于这样的自动发货系统，账号密码：admin</p>
熟悉web。3py,区块链,100,1天,6,2020-08-31 13:19:17,https://zb.oschina.net/reward/detail?id=15508192,"<p><br></p><p><span style=""color: rgb(215, 58, 73);"">def</span></p><p><br></p><p><br></p><p><span style=""color: rgb(111, 66, 193);"">_get_tx_params</span></p><p><br></p><p>(</p><p>self</p><p><br></p><p>,</p><p>value</p><p><br></p><p>:</p><p><span style=""color: rgb(227, 98, 9);"">Wei</span></p><p><br></p><p><br></p><p><span style=""color: rgb(0, 92, 197);"">=</span></p><p><br></p><p><br></p><p><span style=""color: rgb(227, 98, 9);"">Wei</span></p><p><br></p><p>(</p><p><span style=""color: rgb(0, 92, 197);"">0</span></p><p><br></p><p>),</p><p>gas</p><p><br></p><p>:</p><p><span style=""color: rgb(227, 98, 9);"">Wei</span></p><p><br></p><p><br></p><p><span style=""color: rgb(0, 92, 197);"">=</span></p><p><br></p><p><br></p><p><span style=""color: rgb(227, 98, 9);"">Wei</span></p><p><br></p><p>(</p><p><span style=""color: rgb(0, 92, 197);"">250000</span></p><p><br></p><p>))</p><p><span style=""color: rgb(0, 92, 197);"">-&gt;</span></p><p><br></p><p><br></p><p><span style=""color: rgb(227, 98, 9);"">TxParams</span></p><p>:</p><p><span style=""color: rgb(3, 47, 98);"">""""""Get generic transaction parameters.""""""</span></p><p><br></p><p><span style=""color: rgb(215, 58, 73);"">return</span></p><p>{</p><p><span style=""color: rgb(3, 47, 98);"">""from""</span></p><p><br></p><p>:</p><p><span style=""color: rgb(111, 66, 193);"">_addr_to_str</span></p><p><br></p><p>(</p><p>self</p><p><br></p><p>.</p><p>address</p><p>),</p><p><span style=""color: rgb(3, 47, 98);"">""value""</span></p><p><br></p><p>:</p><p>value</p><p>,</p><p><span style=""color: rgb(3, 47, 98);"">""gas""</span></p><p><br></p><p>:</p><p>gas</p><p>,</p><p><span style=""color: rgb(3, 47, 98);"">""nonce""</span></p><p><br></p><p>:</p><p><span style=""color: rgb(111, 66, 193);"">max</span></p><p>(</p><p>self</p><p><br></p><p>.</p><p>last_nonce</p><p><br></p><p>,</p><p>self</p><p><br></p><p>.</p><p>w3</p><p><br></p><p>.</p><p>eth</p><p><br></p><p>.</p><p><span style=""color: rgb(111, 66, 193);"">getTransactionCount</span></p><p><br></p><p>(</p><p>self</p><p><br></p><p>.</p><p>address</p><p>) ), }</p><p><br></p><p><br></p><p>函数没有GASprice,直接是默认区块最优，要能修改GASprice</p><p>具体沟通请加微信：wuyi1210,备注开源众包，价格还可以商议</p>"
